id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,specialty,events_url,precision,source,source_ref,last_updated
lib-04318,librairie,Mille Bulles,,1 Place Fontaine Des Barres 87000 Limoges,87000,Limoges,87,,45.8319808246402,1.25675647355119,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,483382461,2026-06-28
lib-04369,librairie,La Mangatheque,,5 Rue De La Savoureuse 90300 Valdoie,90300,Valdoie,90,,47.665406292,6.8424775674,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,929296754,2026-06-28
lib-04372,librairie,Manga'Cha,,4 Rue Georges Koechlin 90000 Belfort,90000,Belfort,90,,47.6319207777247,6.85614208577519,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,952270072,2026-06-28
lib-04398,librairie,Mangakohii,,14 Rue Des Ecoles 91650 Breuillet,91650,Breuillet,91,,48.5689051405524,2.17058538078659,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,929280485,2026-06-28
lib-04444,librairie,Bulle De Jeux,,68 Rue Saint-Denis 92700 Colombes,92700,Colombes,92,,48.9240113777499,2.25321228504468,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,904812294,2026-06-28
lib-04446,librairie,Le Cube A Comics,,38 Boulevard Charles De Gaulle 92700 Colombes,92700,Colombes,92,,48.9101417854184,2.2358925296207,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,987362183,2026-06-28
lib-04455,librairie,De Films En Bulles (La Case A Bulles),,46 Avenue De La Marne 92600 Asnieres-Sur-Seine,92600,Asnieres-Sur-Seine,92,,48.907437037,2.2833169327,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,815072111,2026-06-28
lib-04483,librairie,La Dule En Bulles,,23 Rue Paul Vaillant Couturier 92500 Rueil-Malmaison,92500,Rueil-Malmaison,92,,48.8770130169868,2.18145193359772,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,914872783,2026-06-28
lib-04499,librairie,She Baaam (Comic(S)Trip),,13 B Rue Voltaire 92250 La Garenne Colombes,92250,La Garenne Colombes,92,,48.9075524842376,2.24777425169002,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,922625645,2026-06-28
lib-04518,librairie,L'Echappee Bulle,,5 Rue Du General Leclerc 92130 Issy-Les-Moulineaux,92130,Issy-Les-Moulineaux,92,,48.826681016,2.2789292986,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,912648722,2026-06-28
lib-04519,librairie,Chacun Sa Bulle & Cie,,55 Rue De Neuilly 92110 Clichy,92110,Clichy,92,,48.901737571,2.3015790082,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,908993660,2026-06-28
lib-04702,librairie,De Plumes En Bulles,,19 Rue Bonaparte 20000 Ajaccio,20000,Ajaccio,2A,,41.917899844,8.7392477396,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,502561327,2026-06-28
lib-04751,librairie,La Cas'A Bulles Martinique,,135 - 137 135 Rue Lamartine 97200 Fort-De-France,97200,Fort-De-France,972,,14.606125749,-61.07267976,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,424282291,2026-06-28
lib-04773,librairie,La Cas'A Bulles Guyane,,51 Rue Du Lieutenant Goinet Et 16 Rue Du Gouverneur Felix Eboue 97300 Cayenne,97300,Cayenne,973,,4.9402743381,-52.32878033,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,478005069,2026-06-28
lib-04787,librairie,La Voie Des Bulles,,Angle Rue Francois De Mahy Et 39 Rue Du Four A Chaux 97410 Saint-Pierre,97410,Saint-Pierre,974,,-21.34242235,55.474526648,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,807693783,2026-06-28
